Model,Accuracy_Mean,Accuracy_Std,F1-Score_Mean,F1-Score_Std
AdaBoostClassifier,0.8766,0.007530677998102928,0.8752000000000001,0.007568942389058661
BaggingClassifier,0.8931999999999999,0.007315128919650763,0.893,0.0074386378681404524
BernoulliNB,0.8484,0.010532489417670108,0.8484,0.010532489417670108
CalibratedClassifierCV,0.8821,0.007340148348485703,0.882,0.007272474743090448
CategoricalNB,0.7985,0.01909188309203684,0.7985,0.01909188309203684
DecisionTreeClassifier,0.8731,0.010278888828835318,0.8731,0.010278888828835318
DummyClassifier,0.4904,0.007574812062208399,0.3229,0.008265725752904116
ExtraTreeClassifier,0.8197999999999999,0.009437513796899347,0.8197999999999999,0.009437513796899347
ExtraTreesClassifier,0.9031,0.005363456596884757,0.9029000000000001,0.005173651192984192
GaussianNB,0.8400000000000001,0.008299933065325798,0.8397,0.008287205667640778
KNeighborsClassifier,0.7549,0.010093452222989824,0.7549,0.010093452222989824
LGBMClassifier,0.9015000000000001,0.0028382310609877314,0.9013,0.0027908580918579516
LabelPropagation,0.7091999999999998,0.01270870218043961,0.6916000000000001,0.014120119609188053
LabelSpreading,0.7091,0.012740573857649491,0.6916,0.01421423386765686
LinearDiscriminantAnalysis,0.8564999999999999,0.006078194176270146,0.8562,0.006142746399887711
LinearSVC,0.8807,0.008393780766469629,0.8802999999999997,0.008446564061465722
LogisticRegression,0.8842000000000001,0.007208020224413621,0.8836999999999999,0.007087547765859007
NearestCentroid,0.7909,0.007534365710971733,0.7909,0.007534365710971733
NuSVC,0.8679,0.007309810759064375,0.8676,0.007074209810603911
PassiveAggressiveClassifier,0.8032999999999999,0.046156858163825976,0.8028000000000001,0.046915526925173305
Perceptron,0.8296999999999999,0.014399459866413182,0.8295999999999999,0.014392899483966215
RandomForestClassifier,0.9038999999999999,0.006740425308044996,0.9038999999999999,0.006740425308044996
RidgeClassifier,0.8564999999999999,0.006078194176270146,0.8562,0.006142746399887711
RidgeClassifierCV,0.8564999999999999,0.006078194176270146,0.8562,0.006142746399887711
SGDClassifier,0.8662000000000001,0.0070206045956804205,0.866,0.007118052168020891
SVC,0.8876999999999999,0.0068321137122985525,0.8875,0.006587024281789838
XGBClassifier,0.8966000000000001,0.005103375789067896,0.8965000000000002,0.0051908038341324896
