Fold,Model,Accuracy,F1-Score
1,DecisionTreeClassifier,0.738,0.735
1,BaggingClassifier,0.77,0.749
1,RandomForestClassifier,0.782,0.755
1,ExtraTreesClassifier,0.779,0.753
1,LGBMClassifier,0.789,0.765
1,ExtraTreeClassifier,0.669,0.673
1,NearestCentroid,0.515,0.569
1,LabelSpreading,0.458,0.517
1,LabelPropagation,0.458,0.517
1,LinearDiscriminantAnalysis,0.684,0.649
1,KNeighborsClassifier,0.699,0.667
1,SVC,0.748,0.696
1,Perceptron,0.605,0.606
1,LogisticRegression,0.699,0.657
1,BernoulliNB,0.613,0.596
1,SGDClassifier,0.674,0.644
1,LinearSVC,0.708,0.656
1,GaussianNB,0.169,0.236
1,RidgeClassifierCV,0.711,0.653
1,RidgeClassifier,0.711,0.653
1,CalibratedClassifierCV,0.713,0.636
1,PassiveAggressiveClassifier,0.561,0.553
1,AdaBoostClassifier,0.657,0.579
1,DummyClassifier,0.662,0.527
2,LabelPropagation,0.457,0.501
2,LabelSpreading,0.457,0.501
2,DecisionTreeClassifier,0.661,0.66
2,ExtraTreesClassifier,0.752,0.721
2,BaggingClassifier,0.727,0.704
2,RandomForestClassifier,0.752,0.719
2,NearestCentroid,0.464,0.518
2,ExtraTreeClassifier,0.641,0.647
2,LGBMClassifier,0.715,0.69
2,LinearDiscriminantAnalysis,0.676,0.65
2,SGDClassifier,0.646,0.636
2,LogisticRegression,0.695,0.661
2,Perceptron,0.627,0.626
2,RidgeClassifierCV,0.703,0.657
2,RidgeClassifier,0.703,0.657
2,LinearSVC,0.693,0.651
2,SVC,0.717,0.658
2,CalibratedClassifierCV,0.713,0.652
2,KNeighborsClassifier,0.639,0.606
2,BernoulliNB,0.58,0.569
2,PassiveAggressiveClassifier,0.555,0.555
2,AdaBoostClassifier,0.683,0.572
2,GaussianNB,0.15,0.218
2,DummyClassifier,0.663,0.529
3,ExtraTreesClassifier,0.767,0.734
3,DecisionTreeClassifier,0.69,0.687
3,NearestCentroid,0.499,0.555
3,LGBMClassifier,0.776,0.751
3,RandomForestClassifier,0.771,0.736
3,BaggingClassifier,0.744,0.72
3,ExtraTreeClassifier,0.658,0.657
3,LabelSpreading,0.435,0.49
3,LabelPropagation,0.435,0.49
3,KNeighborsClassifier,0.695,0.664
3,SVC,0.735,0.677
3,LinearDiscriminantAnalysis,0.69,0.654
3,LogisticRegression,0.708,0.66
3,PassiveAggressiveClassifier,0.631,0.608
3,SGDClassifier,0.673,0.642
3,LinearSVC,0.708,0.654
3,BernoulliNB,0.587,0.577
3,Perceptron,0.619,0.593
3,RidgeClassifierCV,0.698,0.636
3,RidgeClassifier,0.698,0.636
3,CalibratedClassifierCV,0.705,0.627
3,GaussianNB,0.165,0.24
3,AdaBoostClassifier,0.678,0.558
3,DummyClassifier,0.666,0.532
4,ExtraTreeClassifier,0.7,0.706
4,ExtraTreesClassifier,0.803,0.783
4,LGBMClassifier,0.781,0.766
4,RandomForestClassifier,0.794,0.774
4,DecisionTreeClassifier,0.705,0.707
4,LabelPropagation,0.541,0.596
4,BaggingClassifier,0.752,0.736
4,LabelSpreading,0.533,0.588
4,NearestCentroid,0.484,0.535
4,KNeighborsClassifier,0.693,0.669
4,LogisticRegression,0.747,0.717
4,SVC,0.769,0.729
4,LinearDiscriminantAnalysis,0.715,0.697
4,PassiveAggressiveClassifier,0.683,0.671
4,LinearSVC,0.747,0.706
4,CalibratedClassifierCV,0.757,0.706
4,RidgeClassifier,0.747,0.7
4,RidgeClassifierCV,0.747,0.7
4,BernoulliNB,0.587,0.571
4,Perceptron,0.666,0.644
4,SGDClassifier,0.651,0.627
4,AdaBoostClassifier,0.69,0.582
4,DummyClassifier,0.666,0.532
4,GaussianNB,0.115,0.186
5,DecisionTreeClassifier,0.688,0.69
5,BaggingClassifier,0.769,0.746
5,NearestCentroid,0.494,0.55
5,ExtraTreesClassifier,0.776,0.746
5,LabelSpreading,0.496,0.55
5,LabelPropagation,0.496,0.55
5,RandomForestClassifier,0.764,0.731
5,ExtraTreeClassifier,0.666,0.667
5,LogisticRegression,0.73,0.692
5,LGBMClassifier,0.749,0.723
5,SGDClassifier,0.673,0.651
5,SVC,0.735,0.682
5,PassiveAggressiveClassifier,0.671,0.649
5,LinearDiscriminantAnalysis,0.695,0.662
5,KNeighborsClassifier,0.69,0.656
5,LinearSVC,0.722,0.668
5,RidgeClassifierCV,0.72,0.663
5,RidgeClassifier,0.72,0.663
5,CalibratedClassifierCV,0.727,0.664
5,BernoulliNB,0.568,0.561
5,Perceptron,0.622,0.617
5,AdaBoostClassifier,0.717,0.64
5,GaussianNB,0.143,0.213
5,DummyClassifier,0.666,0.532
6,NearestCentroid,0.516,0.573
6,ExtraTreesClassifier,0.789,0.767
6,RandomForestClassifier,0.779,0.756
6,ExtraTreeClassifier,0.698,0.7
6,LGBMClassifier,0.752,0.731
6,Perceptron,0.636,0.639
6,DecisionTreeClassifier,0.668,0.667
6,LogisticRegression,0.732,0.699
6,LabelPropagation,0.504,0.548
6,LabelSpreading,0.501,0.545
6,BaggingClassifier,0.744,0.727
6,LinearDiscriminantAnalysis,0.715,0.684
6,PassiveAggressiveClassifier,0.631,0.614
6,SGDClassifier,0.656,0.625
6,LinearSVC,0.722,0.68
6,GaussianNB,0.152,0.215
6,KNeighborsClassifier,0.708,0.679
6,SVC,0.73,0.677
6,BernoulliNB,0.617,0.609
6,RidgeClassifier,0.713,0.66
6,RidgeClassifierCV,0.713,0.66
6,CalibratedClassifierCV,0.708,0.635
6,AdaBoostClassifier,0.69,0.601
6,DummyClassifier,0.663,0.529
7,NearestCentroid,0.459,0.519
7,BaggingClassifier,0.717,0.7
7,ExtraTreesClassifier,0.762,0.728
7,RandomForestClassifier,0.754,0.721
7,ExtraTreeClassifier,0.673,0.666
7,LabelPropagation,0.457,0.508
7,LabelSpreading,0.457,0.508
7,DecisionTreeClassifier,0.686,0.678
7,LGBMClassifier,0.737,0.708
7,KNeighborsClassifier,0.673,0.64
7,SVC,0.737,0.681
7,Perceptron,0.641,0.632
7,SGDClassifier,0.693,0.655
7,LogisticRegression,0.695,0.654
7,LinearDiscriminantAnalysis,0.683,0.645
7,BernoulliNB,0.55,0.537
7,LinearSVC,0.708,0.65
7,PassiveAggressiveClassifier,0.612,0.6
7,RidgeClassifierCV,0.703,0.638
7,RidgeClassifier,0.703,0.638
7,CalibratedClassifierCV,0.695,0.615
7,GaussianNB,0.162,0.228
7,AdaBoostClassifier,0.678,0.569
7,DummyClassifier,0.663,0.529
8,LGBMClassifier,0.764,0.74
8,ExtraTreesClassifier,0.771,0.744
8,ExtraTreeClassifier,0.683,0.682
8,BaggingClassifier,0.749,0.728
8,RandomForestClassifier,0.769,0.737
8,LabelSpreading,0.499,0.552
8,LabelPropagation,0.499,0.552
8,DecisionTreeClassifier,0.693,0.685
8,NearestCentroid,0.459,0.514
8,LinearDiscriminantAnalysis,0.7,0.675
8,SGDClassifier,0.678,0.662
8,LogisticRegression,0.717,0.679
8,SVC,0.735,0.679
8,BernoulliNB,0.617,0.6
8,LinearSVC,0.735,0.692
8,KNeighborsClassifier,0.654,0.608
8,PassiveAggressiveClassifier,0.617,0.618
8,RidgeClassifierCV,0.73,0.678
8,RidgeClassifier,0.73,0.678
8,CalibratedClassifierCV,0.732,0.669
8,Perceptron,0.624,0.615
8,GaussianNB,0.179,0.258
8,AdaBoostClassifier,0.676,0.564
8,DummyClassifier,0.663,0.529
9,DecisionTreeClassifier,0.762,0.756
9,BaggingClassifier,0.776,0.761
9,LGBMClassifier,0.791,0.773
9,ExtraTreeClassifier,0.705,0.704
9,ExtraTreesClassifier,0.779,0.756
9,RandomForestClassifier,0.776,0.751
9,LabelPropagation,0.55,0.601
9,LabelSpreading,0.55,0.601
9,NearestCentroid,0.457,0.512
9,Perceptron,0.651,0.64
9,KNeighborsClassifier,0.713,0.682
9,LinearDiscriminantAnalysis,0.708,0.679
9,SVC,0.752,0.705
9,LogisticRegression,0.72,0.679
9,LinearSVC,0.73,0.683
9,SGDClassifier,0.666,0.641
9,PassiveAggressiveClassifier,0.585,0.582
9,GaussianNB,0.145,0.205
9,BernoulliNB,0.585,0.57
9,RidgeClassifier,0.73,0.678
9,RidgeClassifierCV,0.73,0.678
9,CalibratedClassifierCV,0.72,0.657
9,AdaBoostClassifier,0.71,0.638
9,DummyClassifier,0.663,0.529
10,LGBMClassifier,0.737,0.725
10,ExtraTreesClassifier,0.759,0.736
10,ExtraTreeClassifier,0.693,0.69
10,DecisionTreeClassifier,0.668,0.673
10,LabelSpreading,0.477,0.523
10,LabelPropagation,0.477,0.523
10,RandomForestClassifier,0.762,0.737
10,BaggingClassifier,0.722,0.704
10,NearestCentroid,0.484,0.533
10,LogisticRegression,0.705,0.671
10,SVC,0.717,0.677
10,KNeighborsClassifier,0.69,0.673
10,BernoulliNB,0.541,0.535
10,GaussianNB,0.174,0.239
10,SGDClassifier,0.656,0.637
10,LinearDiscriminantAnalysis,0.681,0.652
10,LinearSVC,0.698,0.659
10,PassiveAggressiveClassifier,0.592,0.592
10,Perceptron,0.639,0.632
10,RidgeClassifierCV,0.7,0.655
10,RidgeClassifier,0.698,0.653
10,CalibratedClassifierCV,0.703,0.642
10,AdaBoostClassifier,0.705,0.62
10,DummyClassifier,0.663,0.529
